id,Producto,Descripcion,Cilindrada,Marca,Moto
61,manubrio,recto y ancho,Todas,Italika,FT
62,tapa lateral,Tapa,125,MB,HORNET
63,salpicadera delantera,Cubre barro,150,Italika,DT
64,manija cloch,Manija,Todas,Yamaha,125
65,casco,Negro,Todas,Italika,Todas
66,cadena,50-W4,300,Italika,X-VORTEX
67,sprok,para cadena,125,Italika,X-VORTEX
68,aceite,20W-40,600,Honda,CBR600
69,direccional,Universal,Universal,MB,Todas
70,carburador,Mezcla,350,Kawasaki,XR-350
71,llanta trasera,De goma,Todas,Diablo roso,Todas
72,disco de freno,Freno,250,MB,HORNET
73,rin,De rayos,125,Italika,DM 125
74,posa pies,negros,Todas,China,Universal
75,cubre puños,Negro,Todas,Italika,DT
76,balatas,Freno,150,Italika,FT
77,puños,Azules,150,China,Universal
78,punta de escape,Negra,125,MB,Universal
79,tuberia de escape,cromada,Universal,MB,Universal
80,asiento,Cross,Universal,China,Universal
81,cilindro,cromada,600,MB,HORNET
82,faro,Negro,Universal,China,FT
83,parrilla,Negra,Universal,China,Universal
84,cupula,Azules,Universal,China,Pulsar ns200
85,bomba de freno,Freno,Universal,China,DT
86,tanque,Rojo,Universal,Italika,Universal
87,suspension,Amortigua,Universal,MB,CBR600
88,barras delanteras,Amortigua,Universal,China,CBR600
89,llanta,Buena,Universal,Diablo roso,CBR600
90,calavera,Negra,Universal,Italika,FT
