id,Nombre,Color,Características,Precio,Cantidad 
031,Smartphone A1,Negro,6.5,15,699
032,Laptop Pro 14,Gris,14pulg,200,1200
033,Auriculares Bluetooth,Blanco,Unitalla,800,89
034,Monitor 4K 27\,Negro,27pulg,150,350
035,Teclado Mecánico,RGB,Estándar,400,75
036,Mouse Ergonómico,Negro,Único,600,45
037,Tablet Air 10,Plata,10pulg,300,450
038,Reloj Inteligente,Azul,44mm,500,199
039,Cámara Reflex Z,Negro,Cuerpo,100,850
040,Altavoz Inteligente,Carbón,Mini,450,120
041,Disco Duro Externo 2TB,Negro,2.5pulg,350,65
042,Memoria USB 128GB,Rojo,Micro,1000,15
043,Impresora Multifunción,Blanco,XL,80,180
044,Silla Gamer Pro,Rojo,Ajustable,120,220
045,Escritorio Elevable,Madera,120cm,50,310
046,Lámpara LED Escritorio,Blanco,Flexible,300,35
047,Micrófono Condensador,Dorado,Pro,150,110
048,Webcam 1080p,Negro,HD,250,55
049,Router WiFi 6,Negro,4Antenas,200,130
050,Repetidor de Señal,Blanco,Compacto,400,40
051,Consola de Juegos,Blanco,1TB,100,499
052,Mando Inalámbrico,Azul,V2,500,60
053,Mochila para Laptop,Accesorios,45,35
054,Soporte para Monitor,Accesorios,30,20
055,Cable HDMI 2.1,Cables,12,60
056,Power Bank 20k mAh,Energia,50,28
057,Alfombrilla XL,Periféricos,22,40
058,Ventilador USB,Gadgets,18,50
059,Alfombrilla XL,Periféricos,22,40
060,Protector de Pantalla,Accesorios,10,150
